Jweller,Address,City,StateCode,Zip,Phone,Base
Diamond Dealer," 81 Church St # 101,"," Mountain Brk,", AL , 35213,(205) 870-4367, Abernant
Jezebel's," 2827 18th St. South,"," Homewood,", AL , 35209,(205) 502-7669, Abernant
Lilly Rain Jewelry," 225 Summit Blvd,"," Vestavia,", AL , 35243,(205) 968-7303, Abernant
Batron-Clay," 2701 Cahaba Rd,"," Mountain Brk,", AL , 35223,(205) 871-7060, Abernant
Agnew Jewelers," 5886 Trussville Crossings Blvd,"," Birmingham,", AL , 35235,(205) 661-3422, Abernant
Steed's Jeweler's Inc," 2090 Columbiana Rd Ste 1100,"," Vestavia,", AL , 35216,(205) 822-9173, Abernant
Chloe + Isabel," Julie Lane,"," Birmingham,", AL , 35243,(813) 957-6661, Abernant
Brighton," 220 Summit Blvd # 175,"," Vestavia,", AL , 35243,(205) 972-4662, Abernant
Regina Jewelry & Treasures," 225 Summit Pkwy,"," Birmingham,", AL , 35209,(205) 870-9477, Abernant
"Bromberg, John K"," 81 Church St,"," Mountain Brk,", AL , 35213,(205) 870-4367, Abernant
Kay Jewelers," 3465 Lowery Pkwy Suite 107,"," Fultondale,", AL , 35068,(205) 849-9505, Abernant
Jewel Source," 1725 Decatur Hwy,"," Fultondale,", AL , 35068,(205) 849-0028, Abernant
Diannes Enterprises Etc," 612 Meadow Pl,"," Gardendale,", AL , 35071,(205) 631-5131, Abernant
Jeff Dennis Jewelers," 300 Fieldstown Rd,"," Gardendale,", AL , 35071,(205) 631-4848, Abernant
Blair Jewelers," 1034 Main St,"," Gardendale,", AL , 35071,(256) 287-3388, Abernant
K & K Jewelers," 809 Main St,"," Gardendale,", AL , 35071,(205) 631-1010, Abernant
Michael's Jewelry & Pawn," 205 W College St,"," Columbiana,", AL , 35051,(205) 669-1066, Abernant
Southern Wholesale Jewelers," 850 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2074, Abernant
Young Jewelers," 401 19th St W,"," Jasper,", AL , 35501,(205) 530-6777, Abernant
Zales," 300 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2860, Abernant
Muellerhaus," 800 Shades Cliff Rd,"," Jasper,", AL , 35504,(205) 221-6576, Abernant
Southern Carbon Fuels Inc," 850 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2074, Abernant
Vickie Hill," 850 Highway 78 E,"," Jasper,", AL , 35501,(205) 221-2078, Abernant
Murray's Jewelry," 300 Highway 78 E,"," Jasper,", AL , 35501,(205) 384-4784, Abernant
Gold Rush Inc," 270 S Pine Dr,"," Jasper,", AL , 35504,(205) 221-5750, Abernant
Big Mak's Pawn Shop," 4502 Highway 78 E,"," Jasper,", AL , 35501,(205) 384-3077, Abernant
Murray's Jewelry," 105 Highway 78 W,"," Jasper,", AL , 35501,(205) 384-4784, Abernant
Nick Sanders Jeweler," 401 19th St E,"," Jasper,", AL , 35501,(205) 221-2066, Abernant
JB's Pawn," 645 Highway 195,"," Jasper,", AL , 35503,(205) 384-5000, Abernant
Nick Sanders Jewelers," 1811 Highway 78 E # 109,"," Jasper,", AL , 35501,(205) 221-2066, Abernant
Kay Jewelers Outlet," 6200 Grand River Blvd E Suite 350,"," Leeds,", AL , 35094,(205) 699-6005, Abernant
Ashley Jeweler," 8139 Parkway Dr,"," Leeds,", AL , 35094,(205) 699-5295, Abernant
Sterling Jewelers," 6200 Grand River Blvd E,"," Leeds,", AL , 35094,(205) 699-6029, Abernant
MJK Treasures," 1333 Ashville Rd,"," Leeds,", AL , 35094,(205) 705-0739, Abernant
Leeds Jewelry & Web Design," 8139 Parkway Dr,"," Leeds,", AL , 35094,(205) 699-5295, Abernant
Elite Jewelers," 235 Main St Ste 105,"," Trussville,", AL , 35173,(205) 655-4844, Abernant
Miss Sadie's Vintage Designs," 312 Brentwood Ave,"," Trussville,", AL , 35173,(205) 655-1876, Abernant
Friedman's," 5925 Trussville Clay Rd,"," Trussville,", AL , 35173,(205) 655-0631, Abernant
Dr.jewelry," 243 US Highway 11,"," Trussville,", AL , 35173,(205) 467-0222, Abernant
Southern Jewelers Services," 7018 Gadsden Hwy Ste 108,"," Trussville,", AL , 35173,(205) 655-8802, Abernant
Lady G Boutique," 8680 Old Highway 75,"," Pinson,", AL , 35126,(205) 588-7758, Abernant
Wild Sage Jewelry," 5802 Dewey Heights Rd,"," Pinson,", AL , 35126,(205) 681-8043, Abernant
J & H Diamond Jewelers," 5118 Old Springville Rd,"," Pinson,", AL , 35126,(205) 853-4121, Abernant
ID EyeCandy," 33041 1st Ave. NW,"," Carbon Hill,", AL , 35549,(334) 806-6120, Abernant
Edwards Jewelers," 617 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-4290, Abernant
Morlyn's," 621 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-4340, Abernant
Main Street Jewelers," 605 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-1656, Abernant
Southern Valley Pawn," 701 2nd Ave N,"," Clanton,", AL , 35045,(205) 755-4327, Abernant
Alabama Pawn & Cash Inc," 308 Temple Ave N,"," Fayette,", AL , 35555,(205) 932-5984, Abernant
Jewelry Bar," 417 10th St NW,"," Fayette,", AL , 35555,(205) 932-5255, Abernant
Alexander's Jewelry & Gifts," 1550 Temple Ave N,"," Fayette,", AL , 35555,(205) 932-4952, Abernant
Treasures," 114 Temple Ave N,"," Fayette,", AL , 35555,(205) 932-5559, Abernant
J & J Jewelry & Gift Shop," 1316 Main St,"," Greensboro,", AL , 36744,(334) 624-7103, Abernant
J & J Jewelry & Gift Shop," 1013 Centerville St,"," Greensboro,", AL , 36744,(334) 624-7103, Abernant
Bead Shop," 25 Jackson Dr,"," Eldridge,", AL , 35554,(205) 471-2461, Abernant
